Iteration | LR | Training Loss | Validation Loss | Accuracy | Time
391 | 0.10000 | 1.51502 | 1.26661 | 54.53000 | 16.3
782 | 0.10000 | 1.01621 | 1.27986 | 55.94000 | 15.9
1173 | 0.10000 | 0.81531 | 0.73641 | 74.41000 | 16.0
1564 | 0.10000 | 0.68161 | 0.76568 | 74.17000 | 16.0
1955 | 0.10000 | 0.59234 | 0.64207 | 77.74000 | 16.1
2346 | 0.10000 | 0.53191 | 0.54484 | 81.42000 | 16.1
2737 | 0.10000 | 0.48622 | 0.49874 | 83.09000 | 16.2
3128 | 0.10000 | 0.44516 | 0.54033 | 81.72000 | 16.2
3519 | 0.10000 | 0.41996 | 0.46133 | 84.30000 | 16.2
3910 | 0.10000 | 0.39182 | 0.47757 | 83.94000 | 16.2
4301 | 0.10000 | 0.37070 | 0.55714 | 81.71000 | 16.3
4692 | 0.10000 | 0.34861 | 0.54148 | 82.35000 | 16.4
5083 | 0.10000 | 0.33501 | 0.38240 | 87.30000 | 16.4
5474 | 0.10000 | 0.31935 | 0.46885 | 84.68000 | 16.4
5865 | 0.10000 | 0.30565 | 0.42344 | 86.40000 | 16.5
6256 | 0.10000 | 0.29783 | 0.44250 | 85.32000 | 16.5
6647 | 0.10000 | 0.28802 | 0.41086 | 85.95000 | 16.5
7038 | 0.10000 | 0.28150 | 0.48232 | 84.86000 | 16.5
7429 | 0.10000 | 0.27008 | 0.39796 | 86.69000 | 16.6
7820 | 0.10000 | 0.26016 | 0.42920 | 86.02000 | 16.6
8211 | 0.10000 | 0.25292 | 0.47547 | 85.49000 | 16.7
8602 | 0.10000 | 0.25584 | 0.42452 | 86.59000 | 16.7
8993 | 0.10000 | 0.24134 | 0.37432 | 87.40000 | 16.6
9384 | 0.10000 | 0.23552 | 0.36426 | 87.94000 | 16.5
9775 | 0.10000 | 0.23524 | 0.37616 | 87.29000 | 16.6
10166 | 0.10000 | 0.22819 | 0.39808 | 87.54000 | 16.6
10557 | 0.10000 | 0.21909 | 0.41311 | 86.78000 | 16.7
10948 | 0.10000 | 0.21938 | 0.47539 | 85.04000 | 16.7
11339 | 0.10000 | 0.21393 | 0.35306 | 88.50000 | 16.8
11730 | 0.10000 | 0.21280 | 0.44106 | 86.05000 | 16.8
12121 | 0.10000 | 0.20283 | 0.38598 | 87.71000 | 16.9
12512 | 0.10000 | 0.20638 | 0.43381 | 86.32000 | 16.9
12903 | 0.10000 | 0.20603 | 0.39436 | 87.35000 | 16.8
13294 | 0.10000 | 0.19428 | 0.40243 | 87.34000 | 17.0
13685 | 0.10000 | 0.19662 | 0.37179 | 88.30000 | 17.0
14076 | 0.10000 | 0.18819 | 0.39928 | 87.61000 | 16.9
14467 | 0.10000 | 0.18792 | 0.49571 | 85.26000 | 16.9
14858 | 0.10000 | 0.18959 | 0.37247 | 88.47000 | 17.1
15249 | 0.10000 | 0.18565 | 0.36043 | 88.52000 | 16.9
15640 | 0.10000 | 0.18368 | 0.46150 | 86.09000 | 17.0
16031 | 0.10000 | 0.18134 | 0.35918 | 88.86000 | 17.0
16422 | 0.10000 | 0.17854 | 0.34674 | 89.20000 | 17.1
16813 | 0.10000 | 0.17693 | 0.36165 | 88.86000 | 16.9
17204 | 0.10000 | 0.17927 | 0.34844 | 89.27000 | 16.9
17595 | 0.10000 | 0.17468 | 0.34929 | 89.35000 | 17.1
17986 | 0.10000 | 0.17044 | 0.32576 | 89.35000 | 17.0
18377 | 0.10000 | 0.16578 | 0.36501 | 89.45000 | 17.0
18768 | 0.10000 | 0.16549 | 0.38620 | 87.86000 | 17.0
19159 | 0.10000 | 0.16905 | 0.47170 | 86.45000 | 17.0
19550 | 0.10000 | 0.16444 | 0.36515 | 88.97000 | 17.1
19941 | 0.10000 | 0.16237 | 0.34780 | 88.82000 | 17.0
20332 | 0.10000 | 0.15966 | 0.36968 | 88.84000 | 17.0
20723 | 0.10000 | 0.16323 | 0.50645 | 85.57000 | 17.1
21114 | 0.10000 | 0.16340 | 0.35146 | 89.45000 | 17.0
21505 | 0.10000 | 0.16004 | 0.32589 | 89.52000 | 17.0
21896 | 0.10000 | 0.16027 | 0.44219 | 86.68000 | 17.1
22287 | 0.10000 | 0.16086 | 0.37680 | 88.34000 | 17.0
22678 | 0.10000 | 0.15307 | 0.37109 | 88.77000 | 17.1
23069 | 0.10000 | 0.15319 | 0.34740 | 89.44000 | 17.1
23460 | 0.10000 | 0.15228 | 0.44708 | 86.45000 | 17.0
23851 | 0.10000 | 0.14854 | 0.38987 | 89.05000 | 17.0
24242 | 0.10000 | 0.15222 | 0.37550 | 88.76000 | 17.0
24633 | 0.10000 | 0.14547 | 0.34412 | 89.29000 | 17.1
25024 | 0.10000 | 0.15502 | 0.35244 | 89.72000 | 17.0
25415 | 0.10000 | 0.14751 | 0.32990 | 89.40000 | 17.0
25806 | 0.10000 | 0.14994 | 0.42909 | 88.45000 | 17.1
26197 | 0.10000 | 0.15100 | 0.36044 | 88.95000 | 17.1
26588 | 0.10000 | 0.14429 | 0.39457 | 88.67000 | 17.1
26979 | 0.10000 | 0.15328 | 0.37193 | 88.82000 | 17.1
27370 | 0.10000 | 0.14177 | 0.33978 | 89.67000 | 17.2
27761 | 0.10000 | 0.14549 | 0.41316 | 88.59000 | 17.0
28152 | 0.10000 | 0.14371 | 0.31227 | 90.39000 | 17.1
